"patRIL"	"Incapacitation_Mean"	"Incapacitation_SEM"	"N"	"Percentile_ThermTol"	"Tolsqrtvariable"	"hard"	"hprob"
11305	86.1486486486486	6.51767404425971	74	0.116059379217274	9.28162963324053	"A4"	0.999975
11159	163.863636363636	13.689784637931	66	0.690958164642375	12.8009232621572	"A4"	0.999974
11196	120.254237288136	8.01210339612028	59	0.37246963562753	10.9660493017374	"A4"	0.999971
12316	143.359375	6.78106341406314	64	0.553306342780027	11.9732775379175	"A4"	0.999972
12390	93.0645161290323	5.98269454669017	62	0.163292847503374	9.64699518653515	"A4"	0.999973
11037	77.9824561403509	5.2309740719964	57	0.0728744939271255	8.83076758500363	"A4"	0.999974
11336	78.5245901639344	4.49854904096605	61	0.0769230769230769	8.86141016790976	"A4"	0.999975
12333	119.393939393939	7.14853657698443	66	0.357624831309042	10.9267533784715	"A4"	0.99992
11481	79.1964285714286	5.15156133455416	56	0.0836707152496626	8.8992375275317	"A4"	0.999975
11377	136.206896551724	8.9777825729866	58	0.483130904183536	11.6707710350141	"A4"	0.999973
12130	141.475409836066	9.57308974673868	61	0.534412955465587	11.8943436067765	"A4"	0.999974
11316	104.107142857143	9.13828391103001	56	0.253711201079622	10.20329078568	"A4"	0.999971
12278	158.106060606061	10.2718101302055	66	0.651821862348178	12.5740232466009	"A4"	0.999973
11358	94.6666666666667	8.2995359841252	60	0.175438596491228	9.72967967955095	"A4"	0.999973
12093	169.714285714286	15.3333847715918	70	0.728744939271255	13.0274435602034	"A4"	0.999974
11480	98.3018867924528	10.3791890455654	53	0.203778677462888	9.91473079778028	"A4"	0.997349
11369	48.5185185185185	3.71417109255624	54	0.00944669365721997	6.96552356384777	"A4"	0.99997
12123	171.470588235294	11.6824660679016	68	0.742240215924426	13.0946778591645	"A4"	0.997403
12363	166.481481481481	10.1513955742027	54	0.720647773279352	12.9027703025932	"A4"	0.999913
11466	76.9230769230769	5.31181460230122	78	0.0674763832658569	8.77058019307029	"A4"	0.999975
11255	74.8611111111111	8.77635324012453	72	0.0634278002699055	8.65223156827827	"A4"	0.999975
11360	92.5925925925926	7.97088160380906	54	0.156545209176788	9.62250448649376	"A4"	0.999975
12270	175.384615384615	11.0583611837833	65	0.759784075573549	13.2432856717891	"A4"	0.999974
11149	134.736842105263	10.7623137587124	57	0.472334682860999	11.6076200017602	"A4"	0.999974
11410	171.587301587302	12.9731621614508	63	0.743589743589744	13.0991336197209	"A4"	0.999969
11228	148.557692307692	12.0208596181358	52	0.595141700404858	12.1884245211468	"A5"	0.999077
12043	169.52380952381	9.96583660325072	63	0.726045883940621	13.0201309334357	"A5"	0.999977
12049	188.362068965517	8.00809557169593	116	0.828609986504723	13.7245061465073	"A5"	0.997365
12272	197.397959183673	9.4775221003275	98	0.873144399460189	14.0498384041836	"A5"	0.999976
12069	260.757575757576	15.8037359574442	66	0.979757085020243	16.147989836434	"A5"	0.999978
11239	176.147540983607	13.075230745659	61	0.770580296896086	13.2720586565765	"A5"	0.999977
11465	178.245614035088	13.9309360016944	57	0.784075573549258	13.3508656661315	"A5"	0.99908
12357	247.692307692308	16.2578798266153	52	0.973009446693657	15.7382434754425	"A5"	0.990175
11185	148.484848484848	7.9170890798627	66	0.58974358974359	12.1854359168988	"A5"	0.998903
11052	103.521126760563	7.32501733346654	71	0.251012145748988	10.1745332453417	"A5"	0.999255
12301	242.301587301587	12.1949859783059	63	0.966261808367072	15.5660395509451	"A5"	0.99722
12191	255.348837209302	16.4004727979592	43	0.975708502024291	15.9796382064583	"A5"	0.999976
12234	137.5	17.0925204495753	48	0.492577597840756	11.7260393995586	"A5"	0.999978
12075	219.262295081967	13.4371823589723	61	0.927125506072874	14.8075080645586	"A5"	0.99995
12028	186.875	13.84504488462	64	0.824561403508772	13.6702231144923	"A5"	0.999975
12381	218.039215686275	16.5914450146445	51	0.92442645074224	14.7661510112241	"A5"	0.997456
12097	231.866666666667	14.2075266606758	75	0.9527665317139	15.2271687015895	"A5"	0.995584
11374	129.083333333333	10.5755899427188	60	0.43859649122807	11.3614846447695	"A5"	0.999168
12279	299.326923076923	15.5517120432609	52	0.993252361673414	17.3010671080406	"A5"	0.997083
11192	164.43661971831	9.01795062966642	71	0.693657219973009	12.823284279712	"A5"	0.999467
12145	235.909090909091	15.2110528615299	44	0.956815114709852	15.3593323718543	"A5"	0.999978
12243	126.32183908046	7.5210031893561	87	0.423751686909582	11.2392988696119	"A5"	0.997465
12190	164.692307692308	9.05769230769231	65	0.695006747638327	12.8332500829801	"A5"	0.999978
12169	226.484375	16.7663239602671	64	0.940620782726046	15.0493978284847	"A5"	0.997486
12116	156.803278688525	10.1639784945281	61	0.647773279352227	12.5221115906434	"A5"	0.999668
