"feature","id","fc","pval","qval","tname"
"gene","MSTRG.8517",2.91651689096216,0.0894847560764287,0.584699209380811,"MSTRG.8517.1"
"gene","MSTRG.2330",1.27066861980246,0.0897243150493283,0.584699209380811,"FBtr0080252"
"gene","MSTRG.7834",1.41564155214563,0.0897387901936645,0.584699209380811,"FBtr0345934"
"gene","MSTRG.17777",0.82915802494496,0.0897430709770994,0.584699209380811,"MSTRG.17777.1"
"gene","MSTRG.14323",0.808025666526956,0.0897671175887507,0.584699209380811,"FBtr0299976"
"gene","MSTRG.748",1.54894219262397,0.0899644112461765,0.584699209380811,"FBtr0307078"
"gene","MSTRG.16785",0.801698842154026,0.0901193035275788,0.584699209380811,"FBtr0085409"
"gene","MSTRG.16549",0.649137437165803,0.0901561087486711,0.584699209380811,"FBtr0085178"
"gene","MSTRG.18365",0.859795450532386,0.0901740455194026,0.584699209380811,"MSTRG.18365.1"
"gene","MSTRG.2711",0.56321288626307,0.0902613007411379,0.584699209380811,"FBtr0080558"
"gene","MSTRG.2055",1.32011438499518,0.0903456768228091,0.584699209380811,"MSTRG.2055.1"
"gene","MSTRG.11864",0.409131771809231,0.0905137912810494,0.584699209380811,"FBtr0078472"
"gene","MSTRG.7232",0.710060717383975,0.0905363512903369,0.584699209380811,"FBtr0071519"
"gene","MSTRG.4724",0.825219800233777,0.090711748713745,0.584699209380811,"FBtr0089033"
"gene","MSTRG.11200",0.755036772112673,0.0908723251991952,0.584699209380811,"MSTRG.11200.2"
"gene","MSTRG.6292",0.798894369190868,0.0909363678417672,0.584699209380811,"FBtr0112900"
"gene","MSTRG.4345",2.69300299685426,0.0910067199366744,0.584699209380811,"MSTRG.4345.1"
"gene","MSTRG.10572",1.51388603637711,0.0910672674497399,0.584699209380811,"FBtr0075771"
"gene","MSTRG.7261",0.672014503808219,0.0911259347260212,0.584699209380811,"FBtr0071533"
"gene","MSTRG.2591",1.27667294171672,0.0911336294884927,0.584699209380811,"FBtr0331503"
"gene","MSTRG.11070",1.40796528200379,0.0911584842070582,0.584699209380811,"FBtr0113176"
"gene","MSTRG.16454",0.84351261569972,0.0911607971331785,0.584699209380811,"FBtr0085065"
"gene","MSTRG.21149",2.05603872992276,0.0912141652608409,0.584699209380811,"MSTRG.21149.2"
"gene","MSTRG.8021",1.32024888067177,0.0912203469205229,0.584699209380811,"MSTRG.8021.2"
