"feature","id","pval","qval","tname"
"gene","MSTRG.4535",0.432980498059431,0.506378935397483,"FBtr0085977"
"gene","MSTRG.15995",0.433022623567332,0.506378935397483,"FBtr0084555"
"gene","MSTRG.3550",0.433578259826335,0.506825651863977,"FBtr0081308"
"gene","MSTRG.14764",0.433621274684524,0.506825651863977,"FBtr0083328"
"gene","MSTRG.16477",0.433638277377497,0.506825651863977,"FBtr0085067"
"gene","MSTRG.15506",0.433656716050239,0.506825651863977,"FBtr0303402"
"gene","MSTRG.4800",0.43392599678719,0.507066676280526,"MSTRG.4800.8"
"gene","MSTRG.10241",0.434438450492971,0.50759175052513,"FBtr0076077"
"gene","MSTRG.12528",0.435125874459609,0.508321075305662,"MSTRG.12528.1"
"gene","MSTRG.9887",0.435507985541728,0.508693568587738,"MSTRG.9887.1"
"gene","MSTRG.4276",0.435984289165282,0.509175958969968,"MSTRG.4276.1"
"gene","MSTRG.8342",0.436114825126622,0.509254453850486,"FBtr0331866"
"gene","MSTRG.14577",0.43686842498981,0.510060376563306,"FBtr0083109"
"gene","MSTRG.11790",0.437009712496239,0.510151271286798,"FBtr0089798"
"gene","MSTRG.10385",0.437485294734574,0.510628886880577,"MSTRG.10385.1"
"gene","MSTRG.13571",0.437545841767478,0.510628886880577,"FBtr0082048"
"gene","MSTRG.13713",0.437637595966542,0.510661861108957,"FBtr0082190"
"gene","MSTRG.7919",0.437714310071249,0.510677278629477,"FBtr0072322"
"gene","MSTRG.10211",0.437783580779488,0.510684008794407,"FBtr0113334"
"gene","MSTRG.16230",0.438433777233026,0.511368301161421,"FBtr0290055"
"gene","MSTRG.15429",0.438736699430221,0.511647409631357,"MSTRG.15429.1"
"gene","MSTRG.8660",0.439001782571542,0.511833377198341,"FBtr0330148"
"gene","MSTRG.16201",0.439023456343466,0.511833377198341,"MSTRG.16201.1"
"gene","MSTRG.15834",0.439098986850677,0.511847231809414,"FBtr0339617"
"gene","MSTRG.325",0.439371415289694,0.512090568370973,"MSTRG.325.1"
"gene","MSTRG.1346",0.43961440827885,0.512299532151647,"FBtr0346135"
"gene","MSTRG.7822",0.44017541776491,0.512878978508462,"MSTRG.7822.1"
"gene","MSTRG.1662",0.44150623321856,0.514355081492635,"FBtr0079490"
"gene","MSTRG.2551",0.441812094889361,0.514636857922978,"FBtr0080491"
"gene","MSTRG.5283",0.442863859367557,0.515787278353931,"FBtr0088428"
"gene","MSTRG.4407",0.443026911306477,0.515902464628828,"MSTRG.4407.1"
"gene","MSTRG.16645",0.443356243347068,0.516184925293813,"MSTRG.16645.2"
"gene","MSTRG.16213",0.443397844308587,0.516184925293813,"MSTRG.16213.1"
"gene","MSTRG.7936",0.443479938044999,0.516205769540871,"FBtr0299960"
"gene","MSTRG.14421",0.443798446554895,0.516501752126551,"FBtr0082942"
"gene","MSTRG.16606",0.444046323059651,0.516715457972177,"FBtr0085245"
"gene","MSTRG.7991",0.444821747844322,0.517542895857066,"FBtr0301847"
"gene","MSTRG.14887",0.445032543898209,0.517713253005844,"FBtr0083454"
"gene","MSTRG.19733",0.446459741766201,0.519298415285476,"MSTRG.19733.1"
"gene","MSTRG.6833",0.446680677888561,0.51948026197828,"MSTRG.6833.1"
"gene","MSTRG.5945",0.447375644615919,0.520213264025625,"FBtr0087631"
"gene","MSTRG.18037",0.447633524154923,0.520437877873917,"MSTRG.18037.1"
"gene","MSTRG.17342",0.447781098650359,0.52051881286639,"MSTRG.17342.1"
"gene","MSTRG.18952",0.447832587195045,0.52051881286639,"FBtr0114320"
"gene","MSTRG.15782",0.448065113874378,0.520713821644183,"FBtr0084347"
"gene","MSTRG.20754",0.448271970718964,0.520878946470439,"MSTRG.20754.1"
"gene","MSTRG.14001",0.448595815237666,0.521179940211111,"FBtr0333819"
"gene","MSTRG.5592",0.449565142434901,0.522230662351795,"MSTRG.5592.7"
"gene","MSTRG.20221",0.450064185196803,0.522734860969482,"FBtr0074515"
"gene","MSTRG.20710",0.450532434067516,0.523203153035518,"MSTRG.20710.1"
"gene","MSTRG.1418",0.451886626018366,0.524700006705126,"MSTRG.1418.4"
"gene","MSTRG.18614",0.453020179278395,0.525940274542638,"FBtr0071078"
"gene","MSTRG.1425",0.45330679778714,0.526138328465886,"FBtr0344764"
"gene","MSTRG.16935",0.453321621231052,0.526138328465886,"FBtr0085523"
"gene","MSTRG.3230",0.453443374785044,0.526203696972774,"FBtr0100315"
"gene","MSTRG.8806",0.45371517200476,0.52644314143158,"FBtr0073152"
"gene","MSTRG.7945",0.454428314763514,0.527194533659575,"FBtr0072332"
"gene","MSTRG.11599",0.45480675459684,0.527557467253395,"FBtr0078230"
"gene","MSTRG.16022",0.455308975759094,0.528063856800496,"FBtr0334599"
"gene","MSTRG.3792",0.457163318208967,0.530138054078805,"FBtr0081486"
"gene","MSTRG.2036",0.457332490353492,0.530257769236272,"FBtr0310483"
"gene","MSTRG.9567",0.458420715395939,0.531442899411005,"FBtr0345035"
"gene","MSTRG.6553",0.45869621035325,0.531608728395096,"FBtr0087009"
"gene","MSTRG.17702",0.458718432194487,0.531608728395096,"FBtr0070366"
"gene","MSTRG.16461",0.458762071009944,0.531608728395096,"MSTRG.16461.1"
"gene","MSTRG.20420",0.459180603414894,0.532017059885114,"MSTRG.20420.2"
"gene","MSTRG.8088",0.459982541578059,0.532869432349575,"FBtr0072526"
"gene","MSTRG.19939",0.460744847554349,0.5336756537566,"FBtr0307178"
"gene","MSTRG.5865",0.462131847855472,0.535205115272711,"FBtr0087654"
"gene","MSTRG.13013",0.462466322027768,0.535515358062968,"MSTRG.13013.4"
"gene","MSTRG.19043",0.462905784563765,0.535903408136464,"FBtr0310444"
"gene","MSTRG.15466",0.462934714787865,0.535903408136464,"FBtr0084108"
"gene","MSTRG.6946",0.463157992162817,0.536074437691719,"FBtr0086601"
"gene","MSTRG.16892",0.463215775617975,0.536074437691719,"MSTRG.16892.1"
"gene","MSTRG.20563",0.463321845577151,0.536120040594453,"FBgn0263214"
"gene","MSTRG.3120",0.46377396015247,0.536565988713302,"FBtr0080915"
"gene","MSTRG.7369",0.463922758854362,0.536660935947465,"FBtr0071686"
"gene","MSTRG.961",0.463999278977053,0.536672256800441,"MSTRG.961.1"
"gene","MSTRG.2357",0.464677615777633,0.53737954933617,"MSTRG.2357.6"
"gene","MSTRG.6190",0.464841003653963,0.537490585546388,"MSTRG.6190.5"
"gene","MSTRG.16189",0.464907300803367,0.537490585546388,"MSTRG.16189.1"
"gene","MSTRG.10695",0.465250004469074,0.537750763150051,"FBtr0075672"
"gene","MSTRG.19825",0.465266079333258,0.537750763150051,"FBtr0074054"
