"feature","id","fc","pval","qval","tname"
"gene","MSTRG.4471",0.0197545893986688,1.23819470243536e-06,0.00975078328167844,"MSTRG.4471.1"
"gene","MSTRG.20909",4.57591528104585,6.41138333734581e-06,0.0167052940241635,"MSTRG.20909.1"
"gene","MSTRG.4313",15.0421970763379,8.53739017103727e-06,0.0167052940241635,"MSTRG.4313.1"
"gene","MSTRG.19272",0.324297250719353,8.97685826095618e-06,0.0167052940241635,"FBtr0342733"
"gene","MSTRG.905",13.8455200992547,1.06065358883578e-05,0.0167052940241635,"MSTRG.905.1"
"gene","MSTRG.10294",4.5852802469785,2.22499089286288e-05,0.0267927658411937,"MSTRG.10294.1"
"gene","MSTRG.17540",5.2762135079473,2.38157918588389e-05,0.0267927658411937,"MSTRG.17540.2"
"gene","MSTRG.1401",4.62724500963551,3.17392062473276e-05,0.0284130645960362,"MSTRG.1401.1"
"gene","MSTRG.10912",2.58288828992155,3.31098193014912e-05,0.0284130645960362,"FBtr0112771"
"gene","MSTRG.20866",3.20756508688705,3.60800820267126e-05,0.0284130645960362,"MSTRG.20866.1"
"gene","MSTRG.15935",0.73375438970564,5.1192616343565e-05,0.0339217298694307,"FBtr0089497"
"gene","MSTRG.17138",3.45858238783218,5.59113379970944e-05,0.0339217298694307,"MSTRG.17138.1"
"gene","MSTRG.17139",3.45871705173196,5.59977762923936e-05,0.0339217298694307,"MSTRG.17139.1"
"gene","MSTRG.6327",4.37236822261457,6.03779192254184e-05,0.0339625795642978,"MSTRG.6327.1"
"gene","MSTRG.736",0.352905429277498,7.01707263304208e-05,0.0368396313234709,"FBtr0100648"
"gene","MSTRG.12912",4.21350727591995,8.11913114326934e-05,0.0388973324446161,"MSTRG.12912.2"
"gene","MSTRG.13262",3.2177374183776,8.39688446423459e-05,0.0388973324446161,"MSTRG.13262.1"
"gene","MSTRG.891",39.6526392251837,0.000104488363271371,0.0441265923135808,"MSTRG.891.1"
"gene","MSTRG.16104",0.374834598942142,0.000106464159232766,0.0441265923135808,"FBtr0084702"
"gene","MSTRG.3704",0.764140172576139,0.00011378884867197,0.044804359164588,"MSTRG.3704.6"
"gene","MSTRG.15286",0.234352941305773,0.000120275040344731,0.045103140129274,"FBtr0083876"
"gene","MSTRG.20302",0.423628612436966,0.000130626686751012,0.0461375386684959,"FBtr0290003"
"gene","MSTRG.18490",6.06659255306028,0.000139950823373924,0.0461375386684959,"MSTRG.18490.1"
"gene","MSTRG.6031",4.70672473703466,0.000140745054778346,0.0461375386684959,"MSTRG.6031.1"
"gene","MSTRG.2322",5.52415258453095,0.000146468376725384,0.0461375386684959,"MSTRG.2322.1"
"gene","MSTRG.1618",4.21890122660534,0.000165103218742635,0.0484256608396655,"MSTRG.1618.1"
"gene","MSTRG.13169",0.79764651337476,0.000170488303560368,0.0484256608396655,"MSTRG.13169.1"
"gene","MSTRG.1029",4.40575399583542,0.000172180127429922,0.0484256608396655,"MSTRG.1029.1"
