"feature","id","pval","qval","tname"
"gene","MSTRG.16346",0.012202936729597,0.0272309527943367,"FBtr0084968"
"gene","MSTRG.2878",0.0122050417391517,0.0272309527943367,"MSTRG.2878.1"
"gene","MSTRG.14565",0.0122053390891298,0.0272309527943367,"FBtr0083085"
"gene","MSTRG.18575",0.0122071280313867,0.0272309527943367,"FBtr0071066"
"gene","MSTRG.7622",0.0122102481691592,0.0272309527943367,"FBtr0071942"
"gene","MSTRG.18253",0.0122326512225751,0.027268180719617,"MSTRG.18253.3"
"gene","MSTRG.8454",0.012235835572544,0.027268180719617,"FBtr0072788"
"gene","MSTRG.3383",0.0122371131829269,0.027268180719617,"FBtr0081192"
"gene","MSTRG.5310",0.0122649464581954,0.0273226314173982,"FBtr0339455"
"gene","MSTRG.18761",0.0123324557204444,0.0274654137091703,"MSTRG.18761.1"
"gene","MSTRG.9785",0.0123368508518392,0.0274675953905014,"FBtr0343556"
"gene","MSTRG.5616",0.0123432902097269,0.0274743260079225,"FBtr0087976"
"gene","MSTRG.19179",0.0123622608016897,0.0275089378437157,"FBtr0073505"
"gene","MSTRG.10811",0.0123657434687625,0.0275090757885998,"FBtr0075579"
"gene","MSTRG.19054",0.0123827876002999,0.0275393744141625,"MSTRG.19054.3"
"gene","MSTRG.18884",0.0123929952215409,0.0275544560607222,"MSTRG.18884.1"
"gene","MSTRG.5475",0.0124038232556288,0.0275638597645981,"FBtr0302718"
"gene","MSTRG.5379",0.0124040796428849,0.0275638597645981,"FBtr0088255"
"gene","MSTRG.18438",0.0124128174269607,0.0275756568363584,"FBtr0070963"
"gene","MSTRG.5813",0.0124612005377085,0.027675497024096,"MSTRG.5813.1"
"gene","MSTRG.1423",0.0124814809007966,0.027712884981835,"FBtr0079266"
"gene","MSTRG.18778",0.0124892446838223,0.0277224691546505,"FBtr0346175"
"gene","MSTRG.18513",0.0124967287181853,0.0277314272493505,"FBtr0071059"
"gene","MSTRG.13815",0.0125171841553324,0.0277691572350851,"FBtr0082304"
"gene","MSTRG.19966",0.0125217809842932,0.0277716940638958,"FBtr0074377"
"gene","MSTRG.7193",0.0125549250872383,0.0278375262066641,"FBtr0086219"
"gene","MSTRG.7194",0.0125747735308184,0.027873850257674,"MSTRG.7194.1"
"gene","MSTRG.8553",0.0125927763883202,0.0279060644020037,"FBtr0072921"
"gene","MSTRG.14223",0.0126013705238783,0.0279174164608897,"FBtr0344729"
"gene","MSTRG.7399",0.0126099641555832,0.0279287611509778,"FBtr0071747"
"gene","MSTRG.3141",0.0126356892178372,0.0279780321282618,"FBtr0345447"
"gene","MSTRG.10164",0.0127385249299463,0.0281979679291572,"FBtr0305649"
"gene","MSTRG.2455",0.0127728026974601,0.0282660647476538,"FBtr0080367"
"gene","MSTRG.6444",0.012784467201882,0.0282840949759381,"FBtr0087123"
"gene","MSTRG.15172",0.0128016185736211,0.0283142509815898,"FBtr0083737"
"gene","MSTRG.15375",0.0128655380613222,0.0284478023341086,"FBtr0309185"
"gene","MSTRG.13207",0.0128806053556787,0.028473289793944,"FBtr0081578"
"gene","MSTRG.5255",0.0128892405695332,0.0284845486837555,"FBtr0088441"
"gene","MSTRG.14558",0.0129099802833652,0.028522544351325,"FBtr0083123"
"gene","MSTRG.11462",0.0129541125303099,0.0286121870279462,"FBtr0333896"
"gene","MSTRG.19914",0.012986375771987,0.0286755722016254,"FBtr0100384"
"gene","MSTRG.15192",0.0130009605322523,0.0286998969531631,"FBtr0083810"
"gene","MSTRG.16073",0.0130056485154575,0.0287023670036523,"FBtr0084669"
