gene_id,AH_1,AH_3,AL_1,AL_2,AL_3,AL_4,AL_5
MSTRG.20523,2812,1684,1892,2071,4036,2561,2026
MSTRG.20522,9,19,22,18,25,23,17
MSTRG.17321,2451,1791,3578,1529,7338,1688,2843
MSTRG.17320,308,74,155,93,498,115,121
MSTRG.17323,3837,2086,2210,2022,7189,2909,2671
MSTRG.17322,13,4,15,12,76,3,43
MSTRG.17325,2979,1841,2325,2776,6420,3027,2949
MSTRG.17324,141,84,120,139,195,109,104
MSTRG.17327,4776,3326,2276,3424,8903,3830,4028
MSTRG.17326,120,65,78,109,189,87,94
MSTRG.17329,4808,4180,2255,1877,6461,2128,1877
MSTRG.17328,487,342,390,275,1268,392,395
MSTRG.16050,23,10,7,0,30,12,10
MSTRG.16051,3880,4425,2638,2324,8353,2706,2681
MSTRG.16052,44,67,29,44,77,24,16
MSTRG.16053,39,37,21,35,63,26,27
MSTRG.16054,101,124,93,64,194,61,142
MSTRG.16055,461,455,298,183,651,202,258
MSTRG.16056,360,317,209,140,531,130,150
MSTRG.16057,326,263,318,377,722,268,318
MSTRG.16058,690,1078,502,454,1084,479,466
MSTRG.16059,1721,1247,1426,1395,2276,808,1002
FBgn0263764,0,3,12,18,18,23,14
FBgn0263765,3,0,0,3,8,0,5
FBgn0263760,0,0,0,5,0,1,0
MSTRG.5509,396,350,295,247,655,240,249
MSTRG.5508,3,2,2,0,2,0,1
FBgn0003720,4,5,15,19,32,24,17
MSTRG.7054,1042,524,610,681,1942,697,869
MSTRG.5501,7,7,19,6,17,15,8
MSTRG.5500,4,4,21,9,32,12,3
MSTRG.5503,0,0,0,0,4,0,0
MSTRG.5502,3,6,37,12,35,20,3
MSTRG.5505,0,0,0,3,0,2,0
MSTRG.7057,0,0,0,0,6,0,0
MSTRG.5507,184,126,78,65,295,74,80
MSTRG.5506,1550,1522,1127,980,2963,865,850
MSTRG.7056,2,0,13,5,8,3,14
MSTRG.2023,88,81,69,68,166,42,80
MSTRG.7050,10,5,14,36,33,23,9
MSTRG.7053,2,11,0,13,8,4,19
MSTRG.7052,4203,2521,1597,1290,4092,1494,1575
FBgn0034568,8,0,5,4,44,7,0
MSTRG.883,2,0,0,0,3,1,1
MSTRG.11587,0,0,0,0,0,0,0
MSTRG.11586,498,334,500,443,986,323,331
MSTRG.11585,0,0,0,0,0,0,0
MSTRG.11584,1,4,2,0,14,0,5
MSTRG.11583,0,0,0,0,1,0,0
MSTRG.11582,1496,1122,1132,903,2838,921,793
MSTRG.11581,8,24,21,24,18,11,6
MSTRG.11580,43,58,36,37,64,38,30
MSTRG.11589,338,208,240,286,637,203,152
MSTRG.11588,1975,1261,1282,1319,3626,1196,1121
MSTRG.5668,8,2,9,16,0,8,0
MSTRG.16588,1571,1112,871,804,2347,1017,1076
MSTRG.16589,1317,676,934,1075,2432,1032,951
FBgn0267312,0,0,0,0,0,0,2
MSTRG.16582,514,532,438,439,909,389,208
MSTRG.16583,4686,2450,2894,2230,10041,3048,4555
MSTRG.16580,51,92,51,49,65,61,24
MSTRG.16581,1871,1444,931,986,2932,1051,1097
MSTRG.16586,366,280,325,222,740,265,282
MSTRG.16587,297,164,131,127,229,103,81
MSTRG.16584,0,0,2,2,7,0,2
MSTRG.16585,413,404,317,329,529,226,238
MSTRG.11059,239,160,41,17,40,23,54
MSTRG.11058,36,27,3,12,33,32,11
MSTRG.11051,75,35,67,89,149,58,53
MSTRG.11050,1472,1070,841,713,2152,869,932
MSTRG.11053,32,40,30,14,29,11,5
MSTRG.11052,36,13,19,24,71,14,44
MSTRG.11055,14677,10305,9686,11869,25943,9664,9394
MSTRG.11054,421,394,292,246,685,237,192
MSTRG.11057,417,347,271,147,413,137,226
MSTRG.11056,1627,1375,1229,961,2910,989,921
FBgn0262969,0,0,0,0,0,0,0
FBgn0262968,0,0,0,0,0,0,3
FBgn0262967,0,0,2,0,4,0,4
FBgn0262963,0,0,0,3,0,3,0
FBgn0262960,2,0,0,0,0,0,0
MSTRG.15770,0,0,0,5,19,4,3
MSTRG.15771,3,0,4,4,0,2,4
MSTRG.15772,0,0,0,0,3,0,0
MSTRG.15773,8,11,22,14,10,7,6
MSTRG.15774,626,661,609,598,1314,423,481
MSTRG.15775,497,320,340,257,1016,302,314
MSTRG.15776,148,121,109,68,209,107,81
MSTRG.15777,3,0,9,3,11,3,4
MSTRG.15778,24,0,7,0,30,6,13
MSTRG.15779,50,43,44,60,75,41,38
MSTRG.10720,713,549,528,525,1386,433,388
MSTRG.10721,30,33,18,14,42,9,27
MSTRG.10722,89,49,28,40,86,49,37
MSTRG.10723,5,12,6,7,15,11,6
MSTRG.10724,22,21,9,18,15,18,3
MSTRG.10725,88,96,49,35,136,47,37
