patRIL	chamber	Pre	Learning	Memory	file
A5.asc	6	-0.05333	0.8011	-0.8589	4.hbx
A5.asc	8	1.000	0.9572	1.000	4.hbx
A5.asc	10	0.02000	0.9572	0.1900	4.hbx
A5.asc	11	-0.2133	0.7650	1.000	4.hbx
A5.asc	14	-0.1267	0.8644	0.1033	4.hbx
A5.asc	15	0.4067	0.8733	0.8767	4.hbx
A5.asc	2	-0.8000	0.8778	0.4056	5.hbx
A5.asc	4	0.3733	0.7239	1.000	5.hbx
A5.asc	5	-0.8400	0.8994	0.2956	5.hbx
A5.asc	6	1.000	0.8300	0.6289	5.hbx
A5.asc	8	0.3133	0.8822	0.05333	5.hbx
A5.asc	9	1.000	0.9356	0.8411	5.hbx
A5.asc	11	-1.000	0.8500	1.000	5.hbx
A5.asc	12	0.1333	0.6317	0.5633	5.hbx
A5.asc	14	0.4333	0.6472	0.4300	5.hbx
A5.asc	15	0.01333	0.7150	1.000	5.hbx
A5.asc	2	0.4067	0.03667	-1.000	6.hbx
A5.asc	4	-0.2867	0.7222	1.000	6.hbx
A5.asc	5	0.1533	0.8750	0.1133	6.hbx
A5.asc	6	-1.000	0.8611	1.000	6.hbx
A5.asc	8	0.2600	0.7867	0.05222	6.hbx
A5.asc	9	0.0000	0.7756	0.1567	6.hbx
A5.asc	10	0.2000	0.9550	0.4822	6.hbx
A5.asc	14	-0.4800	0.8378	1.000	6.hbx
A5.asc	15	-0.9600	0.6294	0.1711	6.hbx
A5.asc	2	0.8067	0.8800	0.5678	7.hbx
A5.asc	4	0.006667	0.9094	-0.02667	7.hbx
A5.asc	5	0.2733	0.9344	0.4111	7.hbx
A5.asc	6	0.9467	0.8228	-0.5522	7.hbx
A5.asc	8	0.1000	0.8506	0.02889	7.hbx
A5.asc	9	-0.02667	0.8822	0.5678	7.hbx
A5.asc	10	-0.2333	0.9389	0.8544	7.hbx
A5.asc	11	-0.5400	-0.8567	-1.000	7.hbx
A5.asc	14	1.000	0.9750	0.7167	7.hbx
A5.asc	15	0.9267	0.9761	-0.09778	7.hbx
A2.asc	0	-0.1600	0.5611	-0.1000	1.hbx
A2.asc	2	0.2600	0.7606	0.5611	1.hbx
A2.asc	4	-0.4133	0.7706	0.6511	1.hbx
A2.asc	5	-0.3600	0.7328	0.5756	1.hbx
A2.asc	8	0.04667	0.8633	-1.000	1.hbx
A2.asc	9	-0.1267	0.6256	-0.2500	1.hbx
A2.asc	12	-0.06000	0.8400	0.02333	1.hbx
A2.asc	14	0.4467	0.5933	1.000	1.hbx
A2.asc	15	-0.05333	0.5056	-0.3044	1.hbx
A2.asc	0	1.000	0.8694	1.000	2.hbx
A2.asc	2	0.1133	0.9444	1.000	2.hbx
A2.asc	4	-0.1467	0.9661	1.000	2.hbx
A2.asc	5	0.6000	0.8139	0.3622	2.hbx
A2.asc	6	1.000	0.8533	1.000	2.hbx
A2.asc	8	0.2800	0.8033	-0.08889	2.hbx
A2.asc	9	-0.1467	0.7461	1.000	2.hbx
A2.asc	10	-1.000	0.7028	-0.7689	2.hbx
